Filing ID;Company;Ticker;CIK;Filing Date;Filing Type;Period End;Fiscal Year;Fiscal Period;SEC Link;Calcbench Published;Data
930642;Target Corp;TGT;27419;18.5.2014;8-K/A [Amend] ;1.8.2014;2014;2;http://www.sec.gov/Archives/edgar/data/27419/000110465914039885/0001104659-14-039885-index.htm;19.5.2014;FALSE
1008438;Chubb Ltd;CB;896159;15.5.2014;8-K ;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/896159/000119312514203016/0001193125-14-203016-index.htm;16.5.2014;FALSE
971300;Pfizer Inc;PFE;78003;14.5.2014;8-K ;28.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/78003/000119312514201187/0001193125-14-201187-index.htm;15.5.2014;FALSE
27033;WAL MART STORES INC;WMT;104169;14.5.2014;8-K;29.4.2014;2015;1;http://www.sec.gov/Archives/edgar/data/104169/000010416914000022/0000104169-14-000022-index.htm;15.5.2014;TRUE
27072;DEERE & CO;DE;315189;13.5.2014;8-K;29.4.2014;2014;2;http://www.sec.gov/Archives/edgar/data/315189/000110465914038394/0001104659-14-038394-index.htm;14.5.2014;TRUE
929838;Advanced Micro Devices Inc;AMD;2488;12.5.2014;8-K ;27.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/2488/000119312514197165/0001193125-14-197165-index.htm;13.5.2014;FALSE
788397;Firstenergy Corp;FE;1031296;12.5.2014;8-K ;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/1031296/000103129614000023/0001031296-14-000023-index.htm;13.5.2014;FALSE
971301;Pfizer Inc;PFE;78003;12.5.2014;8-K ;28.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/78003/000119312514196483/0001193125-14-196483-index.htm;13.5.2014;FALSE
423160;WALT DISNEY CO/;DIS;1744489;19.2.2014;UPLOAD;26.9.2014;2014;4;http://www.sec.gov/Archives/edgar/data/1001039/000000000014008733/0000000000-14-008733-index.htm;12.5.2014;FALSE
423161;WALT DISNEY CO/;DIS;1744489;26.3.2014;UPLOAD;26.9.2014;2014;4;http://www.sec.gov/Archives/edgar/data/1001039/000000000014015318/0000000000-14-015318-index.htm;12.5.2014;FALSE
423162;WALT DISNEY CO/;DIS;1744489;14.4.2014;UPLOAD;26.9.2014;2014;4;http://www.sec.gov/Archives/edgar/data/1001039/000000000014018843/0000000000-14-018843-index.htm;12.5.2014;FALSE
423157;WALT DISNEY CO/;DIS;1744489;27.2.2014;CORRESP;26.9.2014;2014;4;http://www.sec.gov/Archives/edgar/data/1001039/000100103914000095/0001001039-14-000095-index.htm;12.5.2014;FALSE
423158;WALT DISNEY CO/;DIS;1744489;19.3.2014;CORRESP;26.9.2014;2014;4;http://www.sec.gov/Archives/edgar/data/1001039/000100103914000111/0001001039-14-000111-index.htm;12.5.2014;FALSE
423159;WALT DISNEY CO/;DIS;1744489;8.4.2014;CORRESP;26.9.2014;2014;4;http://www.sec.gov/Archives/edgar/data/1001039/000100103914000144/0001001039-14-000144-index.htm;12.5.2014;FALSE
813082;United Parcel Service Inc;UPS;1090727;11.5.2014;8-K ;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/1090727/000109072714000020/0001090727-14-000020-index.htm;12.5.2014;FALSE
289345;PFIZER INC;PFE;78003;7.5.2014;10-Q;29.3.2014;2014;1;http://www.sec.gov/Archives/edgar/data/78003/000007800314000030/0000078003-14-000030-index.htm;8.5.2014;TRUE
27890;NVIDIA CORP;NVDA;1045810;7.5.2014;8-K;26.4.2014;2015;1;http://www.sec.gov/Archives/edgar/data/1045810/000104581014000076/0001045810-14-000076-index.htm;8.5.2014;TRUE
949662;Mcdonalds Corp;MCD;63908;7.5.2014;8-K ;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/63908/000006390814000034/0000063908-14-000034-index.htm;8.5.2014;FALSE
289025;UNITED PARCEL SERVICE INC;UPS;1090727;7.5.2014;10-Q;30.3.2014;2014;1;http://www.sec.gov/Archives/edgar/data/1090727/000109072714000017/0001090727-14-000017-index.htm;8.5.2014;TRUE
28035;SALESFORCE COM INC;CRM;1108524;6.5.2014;DEF 14A;30.1.2014;2014;4;http://www.sec.gov/Archives/edgar/data/1108524/000119312514187738/0001193125-14-187738-index.htm;7.5.2014;TRUE
954429;Bank Of America Corp /DE/;BAC;70858;6.5.2014;8-K ;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/70858/000007085814000060/0000070858-14-000060-index.htm;7.5.2014;FALSE
288517;EXXON MOBIL CORP;XOM;34088;6.5.2014;10-Q;30.3.2014;2014;1;http://www.sec.gov/Archives/edgar/data/34088/000003408814000019/0000034088-14-000019-index.htm;7.5.2014;TRUE
934326;Deere & Co;DE;315189;6.5.2014;8-K ;30.7.2014;2014;3;http://www.sec.gov/Archives/edgar/data/315189/000110465914035487/0001104659-14-035487-index.htm;7.5.2014;FALSE
